Target: FINCH

Observer: NapaneeImaging
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
29 Jul 2024 01:28:52.623    29 Jul 2024 01:30:06.677      74.054286769    
30 Jul 2024 01:19:17.228    30 Jul 2024 01:20:39.120      81.892810436    
03 Aug 2024 13:59:04.890    03 Aug 2024 14:00:06.708      61.818578769    
04 Aug 2024 13:49:12.668    04 Aug 2024 13:50:49.814      97.146043496    
05 Aug 2024 13:39:48.512    05 Aug 2024 13:41:02.031      73.518817686    
08 Aug 2024 01:27:09.756    08 Aug 2024 01:28:33.422      83.666379447    
09 Aug 2024 01:17:31.054    09 Aug 2024 01:18:53.254      82.199769141    
13 Aug 2024 13:56:41.634    13 Aug 2024 13:57:54.548      72.914634808    
14 Aug 2024 13:46:47.886    14 Aug 2024 13:48:21.174      93.288142537    
15 Aug 2024 13:37:25.995    15 Aug 2024 13:38:13.075      47.080001060    
17 Aug 2024 01:34:16.687    17 Aug 2024 01:35:00.897      44.209252764    
18 Aug 2024 01:24:05.007    18 Aug 2024 01:25:38.402      93.394999229    
19 Aug 2024 01:14:27.247    19 Aug 2024 01:15:41.475      74.227795936    
23 Aug 2024 13:52:49.331    23 Aug 2024 13:54:12.498      83.167227369    
24 Aug 2024 13:42:57.647    24 Aug 2024 13:44:18.579      80.932109174    
27 Aug 2024 01:29:43.824    27 Aug 2024 01:31:04.915      81.091211108    
28 Aug 2024 01:19:41.536    28 Aug 2024 01:21:16.975      95.438916993    
29 Aug 2024 01:10:15.667    29 Aug 2024 01:10:52.117      36.450046836    
01 Sep 2024 13:57:47.606    01 Sep 2024 13:58:40.054      52.448163705    
02 Sep 2024 13:47:30.574    02 Sep 2024 13:48:55.694      85.120795970    
03 Sep 2024 13:37:51.095    03 Sep 2024 13:38:30.810      39.715090231    
05 Sep 2024 01:34:25.257    05 Sep 2024 01:35:11.252      45.994730468    
06 Sep 2024 01:23:56.615    06 Sep 2024 01:25:33.553      96.938482008    
07 Sep 2024 01:14:02.880    07 Sep 2024 01:15:20.344      77.464653191    
11 Sep 2024 13:50:53.651    11 Sep 2024 13:52:13.558      79.907176341    
12 Sep 2024 13:40:50.766    12 Sep 2024 13:41:55.683      64.917164482    
15 Sep 2024 01:27:02.783    15 Sep 2024 01:28:31.876      89.093347220    
